mPos_x,mPos_y,tPos_x,tPos_y,Click_Time
716.3864,506.8636,1244.635,386.3322,0.7167002
1185.205,548.5909,255.9989,1004.663,0.9621911
1150.841,413.5909,616.7983,674.9493,1.193189
777.75,386.5909,415.6765,172.1146,1.396936
566.6591,494.5909,1231.787,278.932,1.635655
819.4773,600.1364,1048.711,936.122,1.880561
1258.841,602.5909,310.0409,114.9649,2.098066
799.8409,440.5909,839.334,433.3753,2.370318
1283.386,450.4091,590.8993,825.0366,2.638582
1376.659,315.4091,225.3519,781.0362,3.001524

